Comment,Label
You're the worst person here.,1
You're the worst person here.,1
I really appreciate your input.,0
That's an interesting point of view.,0
You're a complete failure.,1
I can't believe how stupid you are.,1
I hate everything about this.,1
You're the worst person here.,1
"Shut up, no one cares about your opinion.",1
I can't believe how stupid you are.,1
"You should just leave, no one wants you here.",1
That's an interesting point of view.,0
This is a great discussion!,0
"You should just leave, no one wants you here.",1
I really appreciate your input.,0
This is the worst thing I've ever seen!,1
That's an interesting point of view.,0
I can't believe how stupid you are.,1
This is the worst thing I've ever seen!,1
I like the way you explained that.,0
"You're so dumb, stop talking.",1
I really appreciate your input.,0
"Shut up, no one cares about your opinion.",1
"Nice work, keep it up!",0
"Well said, I agree with you.",0
I really appreciate your input.,0
I respect your perspective.,0
"This is helpful, thank you!",0
That's an interesting point of view.,0
"You should just leave, no one wants you here.",1
"Well said, I agree with you.",0
"You're so dumb, stop talking.",1
"This is helpful, thank you!",0
"You're so dumb, stop talking.",1
I really appreciate your input.,0
You're the worst person here.,1
"You're so dumb, stop talking.",1
I respect your perspective.,0
This is absolutely garbage.,1
This is absolutely garbage.,1
This is absolutely garbage.,1
You're the worst person here.,1
That's an interesting point of view.,0
"This is helpful, thank you!",0
I respect your perspective.,0
"You should just leave, no one wants you here.",1
I hate everything about this.,1
"This is helpful, thank you!",0
I hate everything about this.,1
"Shut up, no one cares about your opinion.",1
That’s a unique take on the topic.,0
I respect your perspective.,0
"This is helpful, thank you!",0
I like the way you explained that.,0
This is a great discussion!,0
"Shut up, no one cares about your opinion.",1
"Get lost, you're useless.",1
This is the worst thing I've ever seen!,1
This was very informative.,0
I can't believe how stupid you are.,1
"Nice work, keep it up!",0
I respect your perspective.,0
That's an interesting point of view.,0
This was very informative.,0
"Well said, I agree with you.",0
That’s a unique take on the topic.,0
"Get lost, you're useless.",1
I can't believe how stupid you are.,1
"Get lost, you're useless.",1
I can't believe how stupid you are.,1
"Get lost, you're useless.",1
"This is helpful, thank you!",0
You're the worst person here.,1
This is absolutely garbage.,1
"Well said, I agree with you.",0
"This is helpful, thank you!",0
This was very informative.,0
"Nice work, keep it up!",0
"Well said, I agree with you.",0
That’s a unique take on the topic.,0
"Well said, I agree with you.",0
I respect your perspective.,0
"Shut up, no one cares about your opinion.",1
"You should just leave, no one wants you here.",1
I can't believe how stupid you are.,1
"Shut up, no one cares about your opinion.",1
"You should just leave, no one wants you here.",1
That's an interesting point of view.,0
"You're so dumb, stop talking.",1
This is absolutely garbage.,1
This was very informative.,0
"Shut up, no one cares about your opinion.",1
I hate everything about this.,1
"Well said, I agree with you.",0
I really appreciate your input.,0
"Nice work, keep it up!",0
I can't believe how stupid you are.,1
"Nice work, keep it up!",0
You're a complete failure.,1
You're a complete failure.,1
"Well said, I agree with you.",0
This is absolutely garbage.,1
"Well said, I agree with you.",0
You're a complete failure.,1
"You should just leave, no one wants you here.",1
"Get lost, you're useless.",1
"You should just leave, no one wants you here.",1
I can't believe how stupid you are.,1
"Get lost, you're useless.",1
"Well said, I agree with you.",0
I really appreciate your input.,0
I can't believe how stupid you are.,1
"Well said, I agree with you.",0
This is absolutely garbage.,1
I like the way you explained that.,0
This was very informative.,0
I respect your perspective.,0
You're the worst person here.,1
I respect your perspective.,0
"Get lost, you're useless.",1
You're the worst person here.,1
"Well said, I agree with you.",0
"Get lost, you're useless.",1
You're the worst person here.,1
You're a complete failure.,1
"Get lost, you're useless.",1
This is a great discussion!,0
"Shut up, no one cares about your opinion.",1
This is the worst thing I've ever seen!,1
I really appreciate your input.,0
"Nice work, keep it up!",0
I like the way you explained that.,0
That’s a unique take on the topic.,0
"Shut up, no one cares about your opinion.",1
That's an interesting point of view.,0
You're the worst person here.,1
I can't believe how stupid you are.,1
You're a complete failure.,1
You're the worst person here.,1
"You should just leave, no one wants you here.",1
I respect your perspective.,0
"Get lost, you're useless.",1
This was very informative.,0
I can't believe how stupid you are.,1
"This is helpful, thank you!",0
"Get lost, you're useless.",1
"Well said, I agree with you.",0
This is a great discussion!,0
This is absolutely garbage.,1
This is a great discussion!,0
"Get lost, you're useless.",1
I respect your perspective.,0
This is absolutely garbage.,1
That's an interesting point of view.,0
"You're so dumb, stop talking.",1
This was very informative.,0
You're a complete failure.,1
I respect your perspective.,0
This is absolutely garbage.,1
I like the way you explained that.,0
This is absolutely garbage.,1
You're a complete failure.,1
This was very informative.,0
"You're so dumb, stop talking.",1
I really appreciate your input.,0
"This is helpful, thank you!",0
"You're so dumb, stop talking.",1
I can't believe how stupid you are.,1
"Get lost, you're useless.",1
"You should just leave, no one wants you here.",1
This is the worst thing I've ever seen!,1
"This is helpful, thank you!",0
That’s a unique take on the topic.,0
You're a complete failure.,1
I hate everything about this.,1
"You're so dumb, stop talking.",1
That’s a unique take on the topic.,0
"This is helpful, thank you!",0
"Well said, I agree with you.",0
"Shut up, no one cares about your opinion.",1
This is the worst thing I've ever seen!,1
You're the worst person here.,1
"Nice work, keep it up!",0
You're a complete failure.,1
"Nice work, keep it up!",0
"Well said, I agree with you.",0
"You should just leave, no one wants you here.",1
I can't believe how stupid you are.,1
I hate everything about this.,1
You're the worst person here.,1
"Nice work, keep it up!",0
"Shut up, no one cares about your opinion.",1
I like the way you explained that.,0
That’s a unique take on the topic.,0
I really appreciate your input.,0
"This is helpful, thank you!",0
"Get lost, you're useless.",1
That’s a unique take on the topic.,0
I really appreciate your input.,0
I like the way you explained that.,0
I really appreciate your input.,0
That's an interesting point of view.,0
